epoch,accuracy,loss,val_accuracy,val_loss
0,0.15963855385780334,2.1572020053863525,0.13513512909412384,2.1830496788024902
1,0.2409638613462448,2.0110535621643066,0.1621621549129486,2.1720848083496094
2,0.2530120611190796,1.9041181802749634,0.13513512909412384,2.2918262481689453
3,0.2590361535549164,1.8849420547485352,0.10810811072587967,2.8404064178466797
4,0.28313252329826355,1.8756272792816162,0.18918919563293457,2.1435706615448
5,0.3313252925872803,1.814111590385437,0.18918919563293457,2.2383980751037598
6,0.3072289228439331,1.7802677154541016,0.18918919563293457,2.269094944000244
7,0.34036144614219666,1.7432758808135986,0.10810811072587967,2.5966804027557373
8,0.34337350726127625,1.7142802476882935,0.18918919563293457,2.3790972232818604
9,0.3253012001514435,1.7495107650756836,0.10810811072587967,2.402313709259033
0,0.21686747670173645,2.0530576705932617,0.18918919563293457,2.1943001747131348
1,0.28012049198150635,1.8598406314849854,0.18918919563293457,2.1915056705474854
2,0.370481938123703,1.6823173761367798,0.10810811072587967,2.2008368968963623
3,0.3765060305595398,1.5786138772964478,0.10810811072587967,2.342438220977783
4,0.4337349534034729,1.5106853246688843,0.10810811072587967,2.572389841079712
5,0.47891566157341003,1.4345624446868896,0.10810811072587967,3.081836700439453
0,0.28012049198150635,1.847779393196106,0.18918919563293457,2.194269895553589
1,0.35843372344970703,1.695745587348938,0.10810811072587967,2.2051749229431152
2,0.3885542154312134,1.6087005138397217,0.10810811072587967,2.2614898681640625
3,0.4307228922843933,1.5387169122695923,0.10810811072587967,2.4303994178771973
4,0.4397590458393097,1.4581395387649536,0.10810811072587967,2.44537615776062
5,0.4337349534034729,1.3873400688171387,0.10810811072587967,2.4576973915100098
6,0.4969879388809204,1.344664216041565,0.10810811072587967,2.9981741905212402
7,0.5271084308624268,1.2534608840942383,0.10810811072587967,3.438004970550537
8,0.5512048006057739,1.241042137145996,0.10810811072587967,3.4304304122924805
9,0.5481927990913391,1.2190735340118408,0.10810811072587967,3.2350690364837646
10,0.4939759075641632,1.2642290592193604,0.10810811072587967,2.760756731033325
0,0.3391566276550293,1.7532488107681274,0.14054054021835327,3.76560378074646
1,0.44397589564323425,1.4326549768447876,0.1135135143995285,2.8502960205078125
